energy,absorption
1.48376854,26311.2264
1.66288936,33608.1463
1.76717578,41171.9941
1.88684513,45293.0205
1.97640554,51485.7369
2.08102042,57675.6817
2.18552581,66845.6909
2.27508622,76339.5689
2.34959216,88796.5205
2.46909728,103522.819
2.57354793,123044.623
2.66305359,144056.97
2.7674495,175170.51
2.8866809,225703.716
2.96069415,314959.375
3.07954234,470037.204
3.16871955,630520.748
3.2735534,669583.97
3.37860623,656888.786
3.48376854,619474.401
3.57387639,595886.192
3.66382,608096.271
3.76876334,620636.989
3.87370668,633456.152
3.94870532,633769.292
4.05359391,659825.503
4.17342749,700917.369
4.27831609,729955.909
4.35298626,823768.802
4.47249138,989631.713
4.56183281,1268115.06
4.6811737,1632562.4
4.75573438,1936816.68
4.87573219,1938477.06
4.98062079,2024989.93
5.07078338,1900060.5
5.16094597,1783336.38
5.26621777,1604993.65
5.38621558,1606351.7
5.49126841,1573929.02
5.58132151,1542043.05
5.70142881,1479703.93
5.77648218,1449703.05
5.8816445,1362402.7